Impact boulderhal,Bongerdstraat,6,,1326AB,Almere
Kei Boulderhal,Soesterweg,314,,3812BH,Amersfoort
Monk Bouldergym Amsterdam,Aambeeldstraat,26,,1021KB,Amsterdam
Het Lab Amsterdam,Transformatorweg,32,,1014AK,Amsterdam
RijnBoulder,Olympus,3,,6832EL,Arnhem
Boulderhal Bruut,Spinveld,66,A1,4815HT,Breda
Bouldercentrum Delfts Bleau,Schieweg,15,,2627AN,Delft
Boulderhal De Campus,Kerketuinenweg,55,,2544CV,Den Haag
Bouldermuur Den Haag,Jaap Edenweg,10,,2544NL,Den Haag
Monk Bouldergym Eindhoven,Glaslaan,2,,5616LW,Eindhoven
Cube Bouldergym,Hoge Bothofstraat,49,,7511ZA,Enschede
Gropo Bouldergym,Ulgersmaweg,8,,9731BS,Groningen
Boulderhal Kunststof,Rooseveltstraat,49,E,2321BL,Leiden
Grip Boulderhal,Kamerlingh Onnesstraat,35,,6533HK,Nijmegen
Bolder Neoliet,Keilestraat,9,,3029BP,Rotterdam
Monk Bouldergym Rotterdam,Ceintuurbaan,183,,3051KC,Rotterdam
Boulderhal Block013,Lovense Kanaaldijk,47,,5013BJ,Tilburg
Graviton Bouldergym,Geerweg,2,,6135KC,Sittard
Boulderhal Energiehaven,Elektronweg,10,A,3542AC,Utrecht
Boulderhal Sterk,Koningin Wilhelminalaan,4,,3527LD,Utrecht
